AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,meanRR,meanRG,meanRB,StdDevRR,StdDevRG,StdDevRB,skewRR,skewRG,skewRB,kurtosisRR,kurtosisRG,kurtosisRB,entropyRR,entropyRG,entropyRB,meanH,meanS,meanV,StdDevH,StdDevS,StdDevV,skewH,skewS,skewV,kurtosisH,kurtosisS,kurtosisV,entropyH,entropyS,entropyV,meanL,meanA,meanB,StdDevL,StdDevA,StdDevB,skewL,skewA,skewB,kurtosisL,kurtosisA,kurtosisB,entropyL,entropyA,entropyB,meanY,meanCb,meanCr,StdDevY,StdDevCb,StdDevCr,skewY,skewCb,skewCr,kurtosisY,kurtosisCb,kurtosisCr,entropyY,entropyCb,entropyCr,meanXX,meanYY,meanZZ,StdDevXX,StdDevYY,StdDevZZ,skewXX,skewYY,skewZZ,kurtosisXX,kurtosisYY,kurtosisZZ,entropyXX,entropyYY,entropyZZ,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,ALLdaub4H,ALLdaub4S,ALLdaub4V,ALLdaub4L,ALLdaub4a,ALLdaub4b,ALLdaub4Y,ALLdaub4Cb,ALLdaub4Cr,ALLdaub4XX,ALLdaub4YY,ALLdaub4ZZ,CLASS
7805,437.915,209.8215,48.0221,0.9735,99.6877,0.9775,7985,0.3547,4.3693,0.5114,0.4751,0.0269,0.0062,0.2257,0.9863,222.9805,223.9872,241.4758,16.295,16.4354,13.6272,-0.7986,-0.8407,-3.7377,7.1706,7.1197,23.5566,-4225152256,-4267165440,-5014238208,0.6532,0.078,0.947,0.0516,0.0358,0.0534,-6.2345,-0.3859,-3.7366,79.7876,2.1248,23.5552,2802.0408,265.6183,701.6497,228.0955,130.1179,119.2036,14.5928,1.6133,4.3298,-1.1189,0.0608,0.3568,8.6096,2.1559,2.1246,-4432724480,-1286927360,-1062276608,209.8105,135.7502,126.1657,13.5906,3.7538,0.9819,-1.0936,-0.4188,0.1943,8.3887,2.1507,3.3297,-3693353216,-1414067840,-1202124032,0.7355,0.7594,0.9475,0.1067,0.1166,0.108,-0.4876,-0.2667,-2.4022,5.4413,4.6547,13.5992,2388.4263,2222.7087,512.8892,111.4315,111.933,120.6838,0.3266,0.039,0.4733,113.9924,65.061,59.5989,104.8552,67.8779,63.0828,0.3673,0.3793,0.4733,Basmati
7503,340.757,138.3361,69.8417,0.8632,97.74,0.966,7767,0.6637,1.9807,0.812,0.7065,0.0184,0.0093,0.4992,0.9888,206.038,206.2412,213.3809,18.3863,18.5343,18.9969,-0.7536,-0.7372,-0.8217,4.4926,4.4713,4.4922,-3428633856,-3436527616,-3701304832,0.6542,0.0354,0.8368,0.0535,0.0143,0.0745,-9.7857,0.865,-0.8208,119.7635,3.4847,4.4913,2696.2507,68.2768,1764.4907,211.4882,128.7362,124.4154,17.076,0.7826,1.7041,-0.8311,0.9045,-0.5643,4.8704,3.7122,2.4539,-3623472640,-1208159104,-1120711552,193.7512,131.0736,127.1655,15.8972,1.3851,0.3717,-0.7533,0.7497,1.8,4.4987,2.9312,4.2389,-2992325376,-1257189760,-1175834752,0.6035,0.6294,0.7289,0.1152,0.1207,0.1386,-0.3131,-0.2934,-0.3768,2.9232,2.9286,2.8833,2567.9663,2531.988,2189.71,102.9773,103.0778,106.6464,0.327,0.0177,0.4182,105.7055,64.3685,62.2084,96.8375,65.5371,63.5832,0.3014,0.3144,0.3641,Arborio
5124,314.617,141.9803,46.5784,0.9447,80.7718,0.9721,5271,0.476,3.0482,0.6505,0.5689,0.0277,0.0091,0.3236,0.9865,201.8228,217.6475,235.0057,13.7392,15.3239,16.0249,-2.2606,-2.6764,-2.869,12.4329,13.0172,13.4749,-2228499200,-2629524480,-3108116224,0.5875,0.1409,0.9216,0.0131,0.0183,0.0628,1.4178,-0.8871,-2.8691,11.9584,5.5929,13.4749,1879.637,400.6435,656.2015,219.5361,125.2797,117.4914,13.8545,1.0867,1.7036,-2.7675,1.2988,0.4409,13.8206,7.0239,5.196,-2676372224,-777033216,-674463936,200.5582,137.944,119.6659,12.7435,1.5291,1.6526,-2.6443,-0.6828,1.5534,13.1546,6.0969,5.4741,-2196389376,-960911488,-702334144,0.6472,0.6897,0.8902,0.0883,0.0953,0.1203,-1.9035,-1.9296,-2.2574,9.4334,9.4209,9.8885,1790.9473,1715.933,757.2745,100.8594,108.7688,117.4546,0.2938,0.0705,0.4606,109.7155,62.6423,58.7439,100.2352,68.9753,59.8342,0.3233,0.3445,0.4448,Jasmine
7990,437.085,201.4386,51.2245,0.9671,100.8622,0.9659,8272,0.6274,3.9325,0.5256,0.5007,0.0252,0.0064,0.2507,0.9859,228.8978,229.7151,244.6294,18.3915,18.9141,16.7398,-1.5281,-1.4967,-3.5705,8.1541,7.8216,17.9112,-4586280960,-4623998464,-5290343936,0.6155,0.0658,0.9595,0.1407,0.0385,0.0655,-3.5418,-0.1676,-3.5726,15.2393,1.7312,17.9282,2743.6218,219.5903,514.2898,233.0965,129.8081,120.5208,16.828,1.7279,4.8413,-1.7808,0.2575,0.0997,9.3138,2.0849,1.7092,-4764499456,-1310564736,-1114603904,214.5264,134.6532,126.4443,15.666,4.2306,0.9329,-1.7634,-0.1586,0.1566,9.0651,1.683,3.2673,-3974825984,-1422344704,-1236613248,0.7762,0.8041,0.9809,0.1218,0.133,0.1301,-1.2292,-0.9592,-2.8063,6.0941,5.1355,12.299,2162.7341,1909.6716,-63.9162,114.4421,114.8475,122.3142,0.3076,0.0329,0.4797,116.5405,64.9069,60.2562,107.256,67.3298,63.2237,0.388,0.402,0.4904,Basmati
7433,342.893,140.335,68.3927,0.8732,97.283,0.9831,7561,0.6006,2.0519,0.7944,0.6932,0.0189,0.0092,0.4806,0.986,210.4471,210.2988,220.8827,19.637,19.6635,20.0206,-1.0165,-1.0176,-1.1514,4.6467,4.661,5.1408,-3560909568,-3555586304,-3955763968,0.6677,0.0485,0.8662,0.021,0.0107,0.0785,-21.9823,0.3104,-1.1504,693.8591,4.1654,5.1382,2672.0652,108.4178,1481.3774,215.4514,129.4134,122.7094,18.1186,0.6736,1.1177,-1.1075,0.3288,0.3235,5.0818,3.0013,5.0546,-3740926720,-1210803200,-1076777088,197.6947,132.4079,127.0735,16.9122,1.0164,0.3185,-1.031,-0.0866,1.3699,4.7069,4.8858,10.0536,-3100359680,-1273499776,-1163001088,0.6365,0.6605,0.7853,0.124,0.1293,0.1497,-0.6071,-0.5923,-0.6824,3.0376,3.0058,3.2231,2493.1421,2432.7375,1815.4894,105.2504,105.1742,110.4669,0.3338,0.0242,0.4332,107.7502,64.7071,61.3549,98.8704,66.2048,63.5378,0.3184,0.3303,0.3928,Arborio
11648,445.527,178.4659,84.9327,0.8795,121.7813,0.9599,12135,0.566,2.1013,0.7374,0.6824,0.0153,0.0073,0.4656,0.9784,237.0549,237.9708,233.8409,12.5821,12.6235,12.3512,-3.348,-3.4724,-3.1596,18.554,19.1612,17.7884,-7184103424,-7244792832,-6972959232,0.1916,0.0174,0.9333,0.0782,0.0107,0.0495,-0.6111,0.8504,-3.4776,5.2738,4.5619,19.1832,1462.3805,35.2689,1323.52,239.4165,127.2344,129.7982,11.4377,0.5129,1.2917,-3.5232,0.2556,1.1507,19.7917,2.8911,4.764,-7336311808,-1827619072,-1910054400,219.7284,126.3894,127.8244,10.7901,1.058,0.4827,-3.4097,-1.1629,-0.4218,18.9035,5.6426,3.4345,-6083588608,-1801072896,-1846366208,0.8067,0.8543,0.9026,0.0856,0.0907,0.0962,-2.7011,-2.7615,-2.4918,13.9203,14.1174,13.1766,3056.7505,2442.5938,1665.6298,118.5226,118.9797,116.9185,0.0957,0.0087,0.4666,119.7029,63.6182,64.8977,109.8611,63.1965,63.9123,0.4033,0.4271,0.4513,Ipsala
7621,450.325,219.0981,45.2301,0.9785,98.5056,0.9718,7842,0.3398,4.8441,0.4722,0.4496,0.0287,0.0059,0.2021,0.9792,212.522,224.5959,237.9377,16.1255,15.5121,13.3441,-0.3648,-1.1184,-3.4245,6.5438,9.3563,23.0836,-3716372736,-4188068352,-4740609536,0.5772,0.1076,0.9336,0.0467,0.0379,0.0521,-3.6672,-0.5831,-3.4303,24.4187,2.535,23.2091,2762.9678,411.7694,856.9327,226.2786,125.8189,120.0576,13.9505,1.2804,3.7863,-1.2387,0.133,0.3864,10.329,3.9252,2.8752,-4251702528,-1166743040,-1053270848,207.0861,135.5716,121.7554,13.0329,3.4111,1.8019,-1.1064,-0.5004,0.9872,9.5777,3.015,3.6444,-3503610112,-1376496256,-1085342592,0.7003,0.744,0.9187,0.1009,0.1097,0.1052,-0.2803,-0.2431,-2.0043,5.7326,5.3929,12.7233,2489.4854,2278.3875,868.7441,106.3275,112.3607,119.0145,0.2885,0.0537,0.467,113.1946,62.9067,60.0384,103.5944,67.7779,60.8812,0.3506,0.3725,0.4597,Basmati
8582,367.338,146.6128,75.5406,0.857,104.532,0.974,8811,0.6423,1.9408,0.7992,0.713,0.0171,0.0088,0.5083,0.9866,222.7229,222.7812,226.6757,24.4016,24.7589,25.0143,-1.2329,-1.2091,-1.237,4.4493,4.3771,4.296,-4672820736,-4677524992,-4856909824,0.5265,0.0217,0.8902,0.2511,0.0169,0.0964,-1.365,1.0135,-1.2497,3.0298,3.9636,4.425,2475.9077,41.7502,1368.9285,226.2534,128.4102,126.0738,22.5936,0.7571,2.1369,-1.2867,1.4332,-0.3939,4.7015,5.0858,3.4768,-4823884288,-1374190080,-1320065280,207.6853,129.7178,127.5826,21.1529,1.856,0.5399,-1.2212,0.2775,0.1286,4.3964,3.5683,1.9362,-4002602496,-1405558528,-1354698752,0.7175,0.7515,0.8444,0.1613,0.1698,0.19,-0.8398,-0.8268,-0.8653,2.9828,2.9612,3.0028,2447.5046,2206.6763,1295.2195,111.3899,111.418,113.3684,0.2634,0.0108,0.4452,113.1557,64.2058,63.0356,103.8655,64.8609,63.7912,0.3589,0.3759,0.4224,Arborio
5450,320.362,139.9963,50.691,0.9321,83.3016,0.9626,5662,0.5502,2.7618,0.6673,0.595,0.0257,0.0093,0.3541,0.9778,203.9683,203.5734,216.9092,12.4525,12.2762,13.4152,-3.1065,-3.2318,-3.3701,18.0097,18.863,18.8072,-2422958336,-2412428288,-2772157440,0.6714,0.0632,0.8506,0.0191,0.0102,0.0526,-8.803,-0.7459,-3.3706,283.7864,6.4253,18.8099,1953.5881,121.742,1237.9111,209.6073,129.8895,121.2897,11.5848,0.7325,1.1989,-3.3678,-0.1055,1.2249,19.8255,4.0475,6.878,-2569714432,-895006336,-769497024,192.2679,133.7811,126.9347,10.6772,1.0876,0.5768,-3.2369,-1.0313,-0.2633,18.7276,6.8394,3.7641,-2127331200,-955241280,-850694464,0.5921,0.6114,0.7461,0.071,0.073,0.0902,-2.3233,-2.3064,-2.5171,13.2058,13.3118,13.4886,1955.3188,1952.6587,1680.9702,101.9263,101.7292,108.3915,0.3356,0.0316,0.4251,104.748,64.9443,60.6481,96.0847,66.8883,63.4677,0.2957,0.3054,0.3727,Jasmine
6781,307.023,116.2443,74.8093,0.7654,92.9184,0.9819,6906,0.7208,1.5539,0.904,0.7993,0.0171,0.011,0.6389,0.9928,200.626,199.384,225.188,16.2713,16.213,20.2226,-2.2348,-2.2351,-1.9776,11.4251,11.4294,9.3042,-2918133248,-2878869248,-3763346688,0.6752,0.1139,0.8831,0.0086,0.0193,0.0793,0.1942,-0.9308,-1.9773,3.1241,3.5757,9.3035,2427.1777,386.0153,1203.2876,206.6557,132.2587,115.3135,15.4438,0.9305,2.7238,-2.3646,-0.5827,0.8408,12.1435,4.2796,3.2039,-3109554944,-1158892800,-856805824,190.0759,138.9484,126.5095,14.2942,2.4027,0.6302,-2.2114,-0.7727,0.6874,11.1913,3.2547,2.7094,-2589655040,-1292433152,-1050649984,0.5869,0.594,0.8056,0.0967,0.0967,0.1431,-1.3568,-1.3669,-1.2321,6.841,7.007,5.8759,2378.8142,2380.2996,1571.6366,100.2629,99.6436,112.5396,0.3376,0.057,0.4413,103.2817,66.1287,57.6591,94.9933,69.4724,63.2545,0.2931,0.2967,0.4024,Karacadag
